Planta;Fecha;Total Energy;Total Consumption;Total Import;Total Export;Total Self-consumpion
1;0:00:00;0;0;0;0;0
1;1:00:00;0.1;0.1;0.1;0.1;0.1
1;2:00:00;0.2;0.2;0.2;0.2;0.2
1;3:00:00;0.3;0.3;0.3;0.3;0.3
1;4:00:00;0.4;0.4;0.4;0.4;0.4
1;5:00:00;0.5;0.5;0.5;0.5;0.5
1;6:00:00;0.6;0.6;0.6;0.6;0.6
1;7:00:00;0.7;0.7;0.7;0.7;0.7
1;8:00:00;0.8;0.8;0.8;0.8;0.8
1;9:00:00;0.9;0.9;0.9;0.9;0.9
1;10:00:00;1;1;1;1;1
1;11:00:00;1.1;1.1;1.1;1.1;1.1
1;12:00:00;1.2;1.2;1.2;1.2;1.2
1;13:00:00;1.3;1.3;1.3;1.3;1.3
1;14:00:00;1.4;1.4;1.4;1.4;1.4
1;15:00:00;1.5;1.5;1.5;1.5;1.5
1;16:00:00;1.6;1.6;1.6;1.6;1.6
1;17:00:00;1.7;1.7;1.7;1.7;1.7
1;18:00:00;1.8;1.8;1.8;1.8;1.8
1;19:00:00;1.9;1.9;1.9;1.9;1.9
1;20:00:00;2;2;2;2;2
1;21:00:00;2.1;2.1;2.1;2.1;2.1
1;22:00:00;2.2;2.2;2.2;2.2;2.2
1;23:00:00;2.3;2.3;2.3;2.3;2.3
1;0:00:00;0;0;0;0;0
1;1:00:00;0.1;0.1;0.1;0.1;0.1
1;2:00:00;1.883692308;1.883692308;1.883692308;1.883692308;1.883692308
1;3:00:00;1.944307692;1.944307692;1.944307692;1.944307692;1.944307692
1;4:00:00;2.004923077;2.004923077;2.004923077;2.004923077;2.004923077
1;5:00:00;2.065538462;2.065538462;2.065538462;2.065538462;2.065538462
1;6:00:00;2.126153846;2.126153846;2.126153846;2.126153846;2.126153846
1;7:00:00;2.186769231;2.186769231;2.186769231;2.186769231;2.186769231
1;8:00:00;2.247384615;2.247384615;2.247384615;2.247384615;2.247384615
1;9:00:00;2.308;2.308;2.308;2.308;2.308
1;10:00:00;2.368615385;2.368615385;2.368615385;2.368615385;2.368615385
1;11:00:00;2.429230769;2.429230769;2.429230769;2.429230769;2.429230769
